question_id,result
0,B
1,C
5,A
6,A
8,A
12,A
13,C
20,A
25,A
27,B
29,A
33,C
36,D
38,A
39,D
40,A
41,A
42,B
43,C
52,A
53,B
54,A
55,A
57,B
58,B
59,A
61,A
64,B
67,C
70,D
74,A
77,A
81,A
84,D
86,A
87,A
89,C
90,B
93,A
94,B
95,C
96,A
99,C
101,B
102,A
105,B
107,B
108,C
111,D
112,A
113,B
115,C
117,D
118,D
120,C
122,B
124,B
126,A
127,A
130,A
133,B
134,A
135,C
136,D
139,C
140,C
143,C
144,A
148,A
149,C
150,A
153,A
154,A
155,D
157,A
160,A
163,C
165,B
166,A
167,C
169,B
170,A
172,D
173,A
177,A
178,A
182,C
186,C
188,C
189,A
192,B
195,B
199,A
200,A
206,A
207,A
208,A
210,C
211,A
213,A
215,B
216,A
217,B
220,C
221,B
223,B
224,D
230,A
231,D
234,D
236,A
237,C
238,A
241,B
243,A
245,A
246,B
247,A
252,A
254,C
255,D
259,C
264,C
267,A
268,A
269,C
270,D
272,C
273,B
274,B
275,C
276,D
278,A
283,C
284,B
287,D
288,A
289,A
292,D
293,C
295,A
297,B
298,A
300,C
303,B
310,A
311,A
313,A
315,C
317,A
319,A
322,B
324,D
326,B
327,A
328,D
330,B
332,C
334,C
337,C
340,A
342,B
344,A
345,B
346,D
347,A
348,A
350,A
353,A
354,A
355,A
357,C
360,D
362,A
368,B
371,C
372,D
374,C
375,A
377,C
378,A
382,A
383,A
385,C
386,B
387,A
391,B
392,A
396,C
398,C
399,D
401,D
402,B
403,A
405,A
410,A
412,B
415,D
416,D
418,A
419,D
420,A
422,C
425,A
427,D
428,A
430,B
432,D
435,D
436,A
438,B
439,A
441,A
445,C
447,D
451,A
452,A
455,A
456,A
461,B
463,A
467,B
469,D
470,A
471,A
473,C
475,B
478,A
480,D
483,C
484,A
485,A
488,B
499,B
500,B
502,C
503,A
504,C
506,C
507,D
511,A
513,D
514,A
516,C
520,A
521,B
522,A
527,B
528,D
533,D
535,A
539,C
540,B
543,B
547,C
548,A
549,C
550,A
551,A
553,B
554,D
555,A
558,C
560,B
561,D
564,A
565,B
566,B
567,D
574,B
577,C
578,A
580,D
581,A
583,D
584,A
585,B
594,A
596,C
597,C
601,A
604,C
606,D
607,B
609,C
610,A
612,D
613,A
615,A
616,A
619,A
620,B
621,C
622,C
624,C
628,C
629,D
630,D
631,D
634,B
635,B
636,B
637,D
638,A
639,A
641,A
642,A
643,D
644,D
645,A
647,A
650,D
653,C
655,A
656,A
662,D
663,A
664,C
665,D
671,C
672,D
676,B
677,C
678,A
679,A
681,D
682,C
683,A
686,C
687,D
688,C
690,D
691,A
692,A
693,A
695,B
697,A
698,A
699,A
705,A
706,B
707,D
712,A
714,A
715,A
716,A
719,D
721,B
723,A
724,C
726,C
728,B
729,A
730,B
733,A
735,C
738,C
740,B
745,D
749,A
750,D
755,B
756,A
757,A
759,B
760,D
762,C
765,D
767,C
770,C
771,A
773,C
774,B
775,A
778,A
785,D
786,D
787,A
789,A
790,C
791,A
793,A
795,A
796,D
797,D
803,A
804,C
805,A
806,D
807,B
811,A
812,B
819,B
821,B
822,A
825,A
828,A
829,A
830,D
835,C
836,D
837,D
838,A
839,A
840,B
841,A
845,D
850,D
852,A
853,C
