question_id,result
1,D
4,D
5,C
7,C
8,B
13,C
15,C
16,C
18,C
19,D
23,D
24,B
28,D
29,A
31,B
33,C
34,D
35,B
36,D
37,C
41,C
42,D
44,C
45,B
46,B
47,D
48,C
49,B
50,D
51,B
52,B
53,D
55,A
57,B
62,C
63,B
64,D
68,A
72,D
73,B
75,B
79,D
80,B
81,D
82,A
85,D
86,A
87,A
90,B
94,D
95,C
96,B
98,B
99,C
102,D
103,C
105,B
110,D
111,D
113,B
122,B
124,D
127,D
128,D
129,C
130,C
132,B
133,D
134,C
136,D
140,D
142,D
144,C
150,D
153,B
158,D
159,D
160,D
161,C
162,B
163,C
164,B
167,D
168,D
169,B
174,D
176,A
181,B
184,C
185,C
186,C
190,D
196,A
201,D
202,C
205,D
206,D
207,C
208,D
209,A
210,C
214,A
217,C
219,D
221,B
224,D
226,C
227,C
230,A
231,D
232,A
234,C
235,D
238,C
239,D
240,C
244,D
245,D
248,D
251,C
252,A
254,C
258,D
259,C
262,D
263,B
264,D
265,D
268,D
271,A
272,C
276,D
277,A
278,A
279,D
280,D
281,D
286,D
289,D
290,D
291,C
292,D
294,D
295,D
296,D
298,D
299,C
302,B
305,B
308,C
310,D
311,A
312,A
316,D
319,A
320,A
322,B
324,D
325,D
326,B
327,D
328,D
330,B
331,D
332,C
333,C
334,C
335,D
342,C
345,D
346,D
347,D
348,C
352,C
353,D
355,D
358,D
359,D
360,D
361,D
364,C
366,D
368,B
369,D
373,D
375,A
377,D
379,B
380,D
381,B
382,C
383,D
384,A
386,B
387,D
389,D
391,D
392,B
393,B
397,C
398,C
400,B
402,B
403,A
404,C
405,C
407,D
410,A
411,A
414,C
417,A
418,D
419,D
421,D
422,D
423,B
424,D
427,D
428,D
432,D
434,A
440,A
441,A
442,C
443,C
444,A
445,C
450,A
451,A
452,A
456,A
457,B
458,D
459,D
460,D
462,C
464,D
470,D
471,C
473,C
474,D
475,B
478,A
482,D
484,A
485,D
486,B
489,D
491,B
492,D
494,A
496,B
497,C
501,D
502,C
508,A
510,B
511,D
512,B
516,C
518,D
520,D
521,B
522,C
523,C
524,B
525,B
526,D
528,D
529,C
531,D
533,C
534,A
535,D
538,B
539,C
546,B
547,C
549,C
550,D
552,D
557,D
558,C
559,D
560,D
561,D
562,B
567,D
568,D
571,D
574,B
576,D
577,C
578,C
582,B
583,D
584,A
586,D
587,D
588,C
591,D
593,D
594,C
595,D
599,D
601,A
602,C
603,D
605,D
607,B
609,C
610,D
614,C
616,B
621,C
623,A
624,C
625,C
627,D
630,D
631,D
632,A
635,B
637,D
639,A
640,D
644,D
645,A
646,A
647,B
653,B
657,B
658,C
660,C
667,D
673,C
674,C
675,D
677,D
681,C
682,B
686,C
692,D
693,D
697,A
698,D
701,A
702,B
705,D
706,B
709,A
710,D
714,A
715,D
718,D
719,D
721,D
724,D
726,C
727,C
729,B
731,C
734,D
735,C
736,D
739,D
740,B
742,D
744,B
747,C
748,B
749,D
750,D
751,C
752,C
754,A
755,B
759,B
767,C
769,C
770,C
775,A
777,D
781,D
784,B
788,B
789,C
790,C
793,C
794,C
796,D
797,B
798,B
799,D
805,A
807,B
809,C
810,C
814,A
816,D
817,A
820,B
822,D
823,C
825,A
826,D
827,C
829,A
832,C
835,C
836,D
837,D
840,B
842,D
844,B
845,D
846,C
848,D
