question_id,result
0,B
2,C
4,B
6,A
7,D
8,B
9,C
11,C
12,A
13,D
14,C
16,C
17,C
18,B
19,A
22,A
24,B
26,C
27,C
28,A
29,D
30,D
31,B
32,A
33,C
34,A
35,D
37,B
38,B
39,D
40,A
41,D
43,B
44,C
45,C
49,D
50,D
51,B
53,D
55,C
56,B
57,B
58,A
60,D
61,C
62,C
64,B
66,D
68,C
70,C
72,D
73,D
74,A
75,B
78,C
80,B
81,D
82,A
83,C
84,D
85,C
86,A
88,A
89,C
91,B
92,B
93,B
95,D
96,B
99,C
100,A
101,D
102,A
103,C
104,B
106,D
107,B
110,D
112,D
113,B
115,B
117,B
118,D
119,C
122,A
123,D
124,D
125,D
127,D
128,A
129,A
131,A
132,C
133,B
134,C
139,C
141,A
142,C
143,C
144,A
146,D
149,C
152,B
153,A
154,A
155,D
156,A
160,D
161,C
162,B
163,C
164,A
165,C
166,C
169,D
170,B
172,D
175,C
176,A
178,C
179,D
181,B
182,C
184,B
185,C
189,D
190,D
191,B
192,B
193,D
194,A
195,C
196,A
199,D
200,D
201,D
203,A
204,A
206,C
207,D
209,A
210,C
211,C
214,A
215,B
218,B
219,A
220,C
221,D
223,A
224,C
227,C
229,C
230,C
231,D
232,A
235,A
236,D
239,B
242,B
243,D
245,D
247,A
248,C
251,D
253,D
254,C
255,B
257,D
258,D
259,C
260,D
261,B
263,D
264,C
265,B
266,D
269,B
271,D
273,D
274,D
275,C
279,C
280,A
281,D
282,A
284,C
290,B
291,D
297,C
299,C
300,C
304,C
306,D
308,D
309,C
310,C
312,A
313,B
314,C
315,C
316,D
317,A
319,A
321,C
323,D
324,D
326,A
329,A
330,C
331,D
333,A
334,C
335,A
339,C
340,A
343,D
344,B
345,B
347,B
348,C
350,D
351,D
352,B
353,A
354,C
355,B
358,B
359,D
361,A
363,C
364,C
365,A
366,A
367,C
369,D
370,D
371,A
372,A
374,C
375,A
378,D
379,B
380,D
381,B
382,C
383,D
384,C
385,C
389,A
392,B
395,D
396,C
398,C
399,D
402,B
403,A
404,C
405,A
406,A
409,D
410,A
412,C
413,B
415,C
416,D
421,C
422,C
423,B
428,A
429,C
431,B
433,C
434,B
436,B
437,A
441,A
442,D
443,C
447,D
448,A
449,C
450,A
451,A
455,C
456,D
458,B
460,C
461,B
462,A
464,D
465,B
468,C
469,D
471,C
472,C
473,B
474,A
477,B
478,A
483,C
486,B
488,D
490,B
491,A
493,B
494,A
496,D
497,A
498,D
499,B
500,B
501,B
506,C
508,A
509,A
511,B
512,C
513,A
514,B
515,C
516,A
518,D
519,D
522,B
524,D
527,C
529,C
530,D
531,A
535,A
537,D
538,D
539,C
541,D
544,C
545,D
546,B
548,B
551,D
552,D
555,D
559,D
560,C
561,D
562,B
564,C
565,B
568,C
569,C
571,B
572,D
573,A
574,C
580,C
585,B
586,B
587,D
589,B
590,B
591,D
592,D
593,D
595,D
596,C
597,C
598,C
600,D
601,A
602,A
604,C
607,B
608,A
611,A
613,B
614,C
615,A
616,B
617,A
618,B
620,B
621,C
623,A
624,B
625,C
626,B
629,B
632,D
633,B
634,B
635,B
636,C
637,D
638,A
639,D
642,B
646,A
647,B
649,A
650,D
652,D
654,B
656,A
657,B
658,B
659,A
661,C
662,D
664,B
665,A
666,C
668,A
670,C
671,C
674,B
675,D
678,B
679,D
681,D
682,A
683,A
685,B
687,D
688,A
692,D
693,D
694,B
695,B
696,A
697,A
698,A
700,A
701,B
702,D
703,B
704,C
705,B
706,B
707,D
710,C
712,A
713,D
715,A
719,B
723,A
724,C
725,D
726,A
727,C
728,B
729,D
730,C
731,D
732,C
733,A
737,D
739,D
741,D
742,C
743,C
745,D
746,A
747,C
748,D
752,C
753,A
754,D
757,C
758,A
760,D
761,C
763,C
766,A
768,C
770,C
771,A
772,D
773,C
774,B
775,A
777,A
779,C
780,C
783,D
785,D
788,B
789,A
793,A
794,C
798,B
801,D
804,D
806,D
807,B
808,D
811,D
812,B
813,B
814,A
815,A
816,D
817,D
818,B
819,B
824,A
825,B
827,A
828,D
830,D
831,D
832,C
833,D
835,C
836,D
837,A
839,D
843,C
844,B
846,D
848,B
849,B
851,B
853,C
855,D
857,B
858,C
860,C
861,B
862,C
865,C
867,D
868,C
870,A
872,C
873,B
874,B
876,D
877,C
879,B
882,C
887,A
891,A
892,A
893,D
895,D
896,A
897,C
898,C
900,B
901,C
902,A
906,D
907,B
908,A
912,C
914,C
916,D
917,B
918,D
921,A
924,D
925,B
927,C
928,B
929,C
931,C
932,C
934,D
935,D
936,D
940,C
942,C
943,C
944,A
945,D
946,D
947,D
948,B
949,D
952,C
954,B
955,A
957,A
958,B
964,B
965,D
967,D
975,B
976,D
977,C
978,C
980,D
981,D
982,C
984,D
986,D
991,D
992,D
994,B
995,D
996,A
998,D
999,A
1001,C
1002,A
1003,B
1004,C
1006,D
1007,D
1008,A
1010,A
1011,A
1012,D
1013,B
1014,C
1015,D
1016,D
1018,A
1019,A
1022,C
1024,D
1025,A
1026,C
1027,C
1028,A
1031,C
1034,D
1035,A
1037,D
1038,D
1039,D
1040,D
1042,A
1043,B
1046,D
1047,B
1048,B
1049,C
1050,A
1051,C
1053,C
1056,D
1058,D
1060,A
1063,B
1064,B
1069,C
1070,D
1071,C
1074,C
1075,D
1079,A
1080,C
1083,B
1088,B
1089,C
1090,D
1091,A
1092,B
1094,C
1095,A
1098,D
1100,C
1102,C
1103,D
1104,C
1105,A
1106,C
1107,B
1109,D
1111,C
1113,C
1114,D
1115,A
1116,B
1117,B
1119,A
1123,A
1124,A
1131,D
1134,A
1140,D
1141,B
1145,D
1146,A
1148,C
1149,C
1150,A
1151,B
1152,B
1155,A
1156,B
1158,A
1159,D
1160,D
1162,D
1163,D
1164,A
1165,A
1167,D
1168,D
1169,B
1170,C
1172,B
1175,B
1176,C
1178,B
1179,D
1181,C
1182,A
1183,C
1185,C
1187,B
1189,B
1190,D
1192,A
1193,C
1194,D
1195,A
1196,D
1199,A
1200,B
1202,A
1203,C
1204,A
1205,A
1206,C
1207,C
1210,B
1212,C
1215,B
1219,A
1220,B
1222,B
1223,D
1224,D
1226,C
1228,D
1229,C
1230,D
1232,B
1235,B
1236,C
1237,A
1238,D
1239,B
1242,C
1243,B
1245,C
1246,D
1247,A
1249,C
1250,A
1251,B
1252,B
1255,A
1256,B
1257,D
1258,D
1259,C
1260,C
1262,C
1264,D
1265,B
1266,A
1270,A
1272,A
1273,B
1281,C
1283,C
1284,A
1286,B
1289,A
1291,B
1292,C
1293,A
1295,D
1296,D
1297,D
1299,D
1302,A
1306,D
1308,A
1309,A
1311,D
1312,B
1313,A
1314,D
1319,A
1320,B
1322,C
1323,C
1324,B
1325,D
1326,B
1327,D
1329,A
1330,D
1332,D
1334,B
1337,C
1339,A
1341,D
1343,D
1344,A
1346,B
1347,C
1348,B
1350,B
1352,B
1354,C
1357,D
1358,B
1359,D
1360,D
1361,D
1362,B
1363,D
1364,A
1365,A
1368,B
1369,C
1370,C
1371,C
1373,B
1374,C
1376,A
1377,A
1379,D
1381,D
1382,D
1385,C
1386,D
1389,A
1390,D
1392,C
1393,B
1394,A
1395,A
1397,C
1400,B
1401,B
1402,D
1403,D
1405,A
1406,A
1412,B
1413,B
1415,C
1416,B
1418,D
1419,B
1420,A
1422,A
1423,D
1425,C
1426,B
1428,A
1429,D
1431,D
1432,A
1433,A
1434,D
1435,B
1436,A
1437,C
1439,D
1440,C
1441,C
1442,A
1445,C
1448,C
1449,A
1450,D
1451,A
1452,A
1454,A
1456,D
1458,A
1463,C
1464,A
1465,C
1466,C
1468,B
1471,C
1472,C
1473,A
1474,B
1476,A
1477,A
1478,C
1481,D
1483,B
1484,A
1485,B
1486,A
1488,A
1489,A
1490,D
1491,D
1492,C
1494,C
1495,A
1496,C
1497,B
1498,B
1499,C
1502,D
1503,C
1504,C
1507,C
1509,A
1511,B
1512,B
1513,D
1514,D
1515,A
1517,B
1518,C
1519,C
1520,C
1522,A
1523,A
1524,B
1525,B
1526,B
1527,B
1528,A
1529,B
1535,D
1536,C
1537,B
1538,A
1540,B
1541,C
1546,A
1548,B
1549,D
1550,B
1551,D
1552,C
1558,A
1562,C
1564,B
1566,A
1567,A
1570,B
1572,B
1573,B
1574,D
1575,A
1577,D
1578,A
1579,B
1580,D
1581,B
1582,C
1584,A
1585,B
1587,A
1589,A
1591,A
1592,C
1595,B
1597,D
1598,A
1599,B
1601,D
1602,D
1603,C
1604,D
1606,A
1607,A
1608,A
1609,B
1613,D
1614,C
1618,B
1622,A
1623,D
1624,B
1625,D
1627,B
1629,D
1630,B
1631,C
1632,D
1635,B
1636,C
1637,B
1638,D
1641,D
1645,D
1646,D
1647,B
1648,B
1649,B
1650,A
1652,B
1653,A
1654,D
1656,A
1657,B
1660,C
1661,A
1662,B
1663,B
1667,C
1670,A
1671,C
1672,B
1673,D
1675,A
1678,B
1679,C
1680,A
1681,B
1682,C
1687,D
1688,C
1690,C
1692,D
1694,D
1696,D
1698,D
1699,B
1702,B
1703,B
1706,B
1708,B
1709,D
1710,D
1711,A
1712,C
1713,A
1715,A
1716,C
1720,C
1722,A
1723,B
1732,A
1734,B
1735,A
1736,C
